alpha,rouge1,rouge2,rougeL,rougeLsum
0.0,45.26121935503541,16.011219219350608,22.460767867448148,22.39925399050051
0.1,45.48342241543503,16.177681308651692,22.535366023471724,22.487415534113442
0.2,45.41276429010074,16.141287036462387,22.430858925162184,22.373876680131914
0.3,45.02339320050063,15.803777429671955,22.239977224119293,22.18337985211346
0.4,45.25465762757249,15.84074009091729,22.267701593396644,22.21935454439505
0.5,45.31231841678303,15.71123186172948,22.182994351945105,22.13195299240881
0.6,45.36232119461213,15.782538445351818,22.129169220715017,22.09310997408664
0.7,45.154602914089665,15.599322382803463,21.97793380766438,21.906659316016043
0.8,45.250724102271825,15.635521201940971,22.078062720442976,22.033541952593446
0.9,45.72620272215664,16.32876864058582,22.698244988606834,22.672747435160463
1.0,45.810875233440804,16.528916354299025,22.677483546852166,22.65417864484374
