sample_id,Flat_1024_summary,Flat_Overlap_summary,document,reference,TreeSum_summary
5238,"– Eleven Secret Service agents have been placed on leave amid allegations that they brought prostitutes back to their Cartagena hotel rooms before President Obama's arrival in the city for the Summit of the Americas. At least one supervisor was among the agents involved, Rep. Pete King tells the New York Daily News. ""The agent said, 'I don't owe you anything,' but gave the woman some money,"" King says, adding that it was ""settled right there."" King says the matter was reported to the US Embassy, which in turn notified the Secret Service. Prostitution is legal in Colombia, as long as it's conducted in a ""tolerance zone."" Several of the agents are married, according to reports. President Obama, who will attend the summit, has ordered an investigation into the matter.","– The Secret Service sex scandal has expanded to include members of the military. Five service members are being investigated for allegedly violating their curfew in Cartagena, Colombia, the AP reports. ""The only misconduct I can confirm is that they were violating the curfew established,"" says a spokesman for US Southern Command, which is investigating. Eleven agents have been placed on leave amid allegations that they brought prostitutes back to their Cartagena hotel rooms before President Obama's arrival for the Summit of the Americas, reports the New York Daily News. ""Their careers are over,"" a Secret Service expert tells the Christian Science Monitor. ""Number one, it is against basic ethics to go to a prostitute."" ""Number two,"" he continues, ""it is incredibly embarrassing to the White House. And number three, it could leave them open to blackmail and a possible assassination attempt.""",,,
912,"– A volunteer for Ben Carson's presidential campaign was killed Tuesday in a car crash in Iowa, Politico reports. According to the Des Moines Register, 25-year-old Braden Joplin was killed when the campaign van he was riding in flipped on an icy road and was hit by another vehicle. ""Rest in peace, Braden Joplin,"" Carson tweeted. ""Our thoughts and prayers are with his family."" Joplin had been a volunteer for Carson in Iowa since earlier this month. ""I find solace in the knowledge of God's redeeming grace, and I pray that Braden's family finds comfort in the mercy of the Lord,"" Politico quotes a statement from Carson. ""Across America today, I ask everyone to take a moment to reflect on the preciousness of life and remember and honor the memory of Braden Joplin."" The other three people in the Carson van were treated and released from the hospital.","– A volunteer for Ben Carson's presidential campaign died Tuesday in a car crash in Iowa, Politico reports. According to the Daily Toreador of Texas Tech University, 25-year-old Braden Joplin was killed when the campaign van he was riding in hit a patch of ice, flipped on its side, and was struck by another vehicle near the town of Atlantic. Three other passengers in the van were hospitalized. ""I had the privilege of knowing Braden Joplin personally, and am filled with a deep and profound sadness at his passing,"" Carson said in a statement. ""While we mourn this profound loss, I am thankful that our other campaign colleagues, Drew McCall, Aaron Ohnemus, and Ryan Patrick Shellooe, have all been treated and released from the hospital."" ""Rest in peace, Braden Joplin,"" Carson tweeted. ""Our thoughts and prayers are with his family.""",,,
204,"– Google's new holding company, Alphabet, officially became effective Tuesday, and one of the first things it did was snap up the domain abcdefghijklmnopqrstuvwxyz.com, CNBC reports. The domain was registered in 1999 and was updated Wednesday, according to domain database Whois. ""We realized we missed a few letters in abc.xyz, so we're just being thorough,"" a Google rep tells media.com. It's not clear how much Google paid for the domain, though CNBC notes it's one of 18,095 other domain names it owns, including Googl.com and Gogle.com—meaning if someone misspells Google, they'll still be directed to the search engine. ""It's oddly comforting to know Google/Alphabet has the same problem many do when they're trying to purchase a domain for their own website,"" Mashable reports.","– ""We realized we missed a few letters in abc.xyz, so we're just being thorough."" That's how a rep for Google's new parent company, Alphabet, is responding to the news that the company has registered .xyz—a domain it doesn't actually own. CNBC reports that Google has 18,095 other domain names, including .com, .org, and .xxx. ""The whole point is that Alphabet companies should have independence and develop their own brands,"" writes Google CEO Sundar Pichai in a blog post. "" Empowering great entrepreneurs and companies to flourish. Investing at the scale of the opportunities and resources we see. Making Google even better through greater focus. ... What could be better? No wonder we are excited to get to work with everyone in the Alphabet family.""",,,
2253,"– A New York woman is suing her 8-year-old nephew for $127,000, alleging that the boy's exuberance at his 2011 birthday party caused her to fall and break her wrist, the Stamford Advocate reports. According to the New York Daily News, Jennifer Connell was attending her nephew Sean Tarala's birthday party in Westport, Conn., when he dropped his first two-wheeler on the ground and yelled, ""Auntie Jen, Auntie Jen."" ""All of a sudden he was there in the air, I had to catch him and we tumbled onto the ground,"" Connell testified in court Friday. ""I remember him shouting, 'AuntieJen I love you,' and there he was flying at me."" Connell, a human resources manager who has no children of her own, broke her wrist in two places and has been unable to hold her hors d'oeuvre plate ever since. She's seeking $127,000 from Sean, who she says is always being ""very loving, sensitive."" The lawsuit claims that ""a reasonable eight years old under those circumstances would know or should have known that a forceful greeting such as the one delivered by the defendant to the plaintiff could cause the harms and losses suffered by the plaintiff.""","– A New York woman is suing her 8-year-old nephew for $127,000, alleging that the boy's exuberance at his 2011 birthday party caused her to fall and break her wrist, the Stamford Advocate reports. According to the New York Daily News, Jennifer Connell was attending her nephew Sean Tarala's birthday party in Westport, Conn., when he dropped his first two-wheeler on the ground and yelled, ""Auntie Jen, Auntie Jen."" ""All of a sudden he was there in the air, I had to catch him and we tumbled onto the ground,"" Connell testified in court Friday. ""I remember him shouting, 'AuntieJen I love you,' and there he was flying at me."" Connell, a human resources manager who has no children of her own, broke her wrist in two places and has been unable to hold her hors d'oeuvre plate ever since. She's seeking $127,000 from Sean, who she says is always being ""very loving, sensitive."" The lawsuit claims that ""a reasonable eight years old under those circumstances would know or should have known that a forceful greeting such as the one delivered by the defendant to the plaintiff could cause the harms and losses suffered by the plaintiff.""",,,
2006,"– Dawn Wells, best known for playing Mary Ann Summers on Gilligan's Island, is in need of financial aid, according to a GoFundMe campaign set up by a friend. Dugg Kirkpatrick, who appears to be a hair stylist who has worked with Wells, says the 79-year-old actress has been struggling to make ends meet since the 2008 financial crisis, People reports. He says Wells suffered ""an unexpected accident that required hospitalization for two months"" and needs $194,000 to ""alleviate penalties by the IRS"" and cover her hospital costs. TMZ reports Wells broke her knee this year. She wants to be moved to a smaller assisted living facility that caters to the film and TV industry, but was denied due to her debt. Kirkpatrick says Wells has no family to support her and has lost her home. He is reportedly trying to get her moved into a new facility in Glendale, California, sometime this week.","– Dawn Wells, best known for playing Mary Ann Summers on Gilligan's Island, is in need of financial aid, according to a GoFundMe campaign set up by a friend. Dugg Kirkpatrick, who appears to be a hair stylist who has worked with Wells, says the 79-year-old actress has been struggling to make ends meet since the 2008 financial crisis, People reports. He says Wells suffered ""an unexpected accident that required hospitalization for two months"" and needs $194,000 to ""alleviate penalties by the IRS"" and cover her hospital costs. TMZ reports Wells broke her knee this year. She wants to be moved to a smaller assisted living facility that caters to the film and TV industry, but was denied due to her debt. Kirkpatrick says Wells has no family to support her and has lost her home. He is reportedly trying to get her moved into a new facility in Glendale, California, sometime this week.",,,
1828,"– Online dating companies are rushing to beef up background checks on would-be users after the arrest of a man accused of kidnapping and raping a 4-year-old girl, the New York Times reports. One company, MyMatchChecker, offers a basic search for $9.95, and a number of mobile phone apps offer background checks as well. ""What we want to do is provide some degree of safety,"" says a retired New York State Police captain and former police chief who founded the company. ""You're talking pennies per check."" But the chief of the National Center for Missing and Exploited Children says background checks don't go far enough, and he wants the government to create a national database for sex offenders. ""It's not a matter of if, but when,"" he says. ""We're not there yet.""","– Online dating is a billion-dollar industry, and with some 20 million Americans using it, it's time for some sort of safety check, the New York Times reports. A number of companies are now offering background checks on potential dates, from Match.com to eHarmony. One company, MyMatchChecker, offers a basic search for $9.95, and a number of mobile phone apps offer background checks as well. ""What we want to do is provide some degree of safety,” says a retired New York State Police captain and former police chief who founded the company. “You’re talking pennies per check.” But most online dating companies question whether such checks can be effective, and say state and county databases are incomplete, the Times notes. Still, New York and New Jersey have begun regulating dating sites, and legal experts believe changes to the liability laws that protect such sites are on the horizon.",,,
1143,"– The Supreme Court wrestled with the question of whether Aereo's streaming service violated broadcasters' rights during arguments yesterday, and the early consensus is that it's going to be a close one. Here's what people are saying: ""If you're comfortable with the Supreme Court resolving disputes over technology, the transcript of Tuesday's oral arguments in ABC vs. Aero should change your mind,"" writes Lyle Denniston at SCOTUSblog. The court ""struggled to get past a simplistic view of the technology involved,"" he writes. ""That's physically impossible, not just because antennas aren't sensitive enough to detect signals from outside the local market but because the world isn't, you know, flat. And that sounds so much like what a TV system does or what a satellite system does, that it looks as if somehow you are escaping a constraint that's imposed upon them."" ""Everyone outside the court should be disturbed by a question like that,"" writes Eugene Robinson at the Washington Post. ""At stake here is the degree to which innovative companies are going to have to seek permission from copyright owners to enable people to do in the cloud what they can do for themselves at home."" ""Most of the energy, at least from the bench, was about the risk that the Court might rule in this case in a way that would smother the infant of digital innovation in its electronic crib,"" writes Denniston. ""She confessed her concern, saying 'this is really hard for me.'""","– The Supreme Court wrestled with the question of whether Aereo's streaming service violated broadcasters' rights during arguments yesterday, and the early consensus is that it's going to be a close one. Here's what people are saying: ""If you're comfortable with the Supreme Court resolving disputes over technology, the transcript of Tuesday's oral arguments ... should change your mind,"" writes Lyle Denniston at SCOTUSblog. The court ""struggled to get past a simplistic view of the technology involved,"" he writes. ""That's physically impossible, not just because antennas aren't sensitive enough to detect signals."" Chief Justice Roberts: ""There’s a fundamental difference between a service that provides new content to all sorts of end-­users—essentially any paying stranger—and a Service that provides a locker, a storage service. If I show up at the car dealership without, I'm in trouble."" Justices seemed concerned that if a company provides equipment to users, that means it'll be a content provider, which would make it difficult for cable companies to get a license to retransmit, reports the Los Angeles Times.",,,
839,"– President Trump is said to be ""happy"" with his legal team—but not so happy that he's considering a third special counsel to investigate Robert Mueller's Russia investigation. Sources tell the Washington Post that Trump's legal team, including attorney John Dowd and White House lawyer Ty Cobb, have concluded that the Justice Department and FBI are the ones to blame for the investigation into Russian interference with the 2016 election and possible obstruction of justice by the president. The sources say Trump is not happy with his current legal team because they are not doing a good job representing him. ""They've been at the top of their profession and were on the shortlist of the top 10 attorneys you would call if you got your knickers in a twist,"" former Justice Department official Mark Corallo tells the Post. ""One thing I like is Cobb and Dowd are of the same generation as the president."" Sources tell Fox News that Trump is also not happy that the legal team has been telling him that Mueller may be asking detailed questions of witnesses, but Dowd and Cobb have told Trump that he is not vulnerable to obstruction charges because he is the chief law enforcement officer in the country. The president is also said to believe that if he fires Mueller, the investigation would be wrapped up by Thanksgiving or Christmas and he would be able to focus on his re-election campaign.","– President Trump's legal team has decided it's time for a third special counsel to investigate Robert Mueller, according to Axios, which first reported the story. Sources tell the Washington Post that Trump is not happy with his current legal team (John Dowd and Ty Cobb) and is considering bringing in new lawyers. Trump is said to be satisfied with Dowd and Cobb's representation and believes their presence in the White House and frequent contact with Mueller's team will keep the investigation from getting out of hand. The president is also said to believe that if he fires Mueller, the investigation would be wrapped up by Thanksgiving or Christmas and he would be able to focus on his re-election campaign.",,,
5543,"– John McCain today called for ""additional US troops"" to help in the fight against ISIS, telling CBS' Face the Nation that ""this is a direct threat to the United States of America. It may be one of the biggest we’ve ever faced."" House Intelligence Committee chair Mike Rogers echoed the sentiment, saying, ""The United States seems to be in the malaise of not being that concerned. If you have your own European allies saying, 'Maybe the United US isn’t a leader on this issue,' that’s a problem for us."" Elsewhere on your Sunday dial, as per Politico: Sen. Dianne Feinstein on President Obama's ISIS response: ""I’ve learned one thing about this president, and that is he’s very cautious. Maybe, in this instance, too cautious. What I understand he is trying to do is give an opportunity for this new Iraqi government ... to make a move that offers an alternative to the Sunni people in country."" Rep. Adam Kinzinger on ISIS: ""They're a terrorist organization, and they're not a parody of al-Qaeda. They're an actual threat.""","– John McCain today called for ""additional US troops"" to help in the fight against ISIS, telling CBS' Face the Nation that ""this is a direct threat to the United States of America. It may be one of the biggest we’ve ever faced."" House Intelligence Committee chair Mike Rogers echoed the sentiment, saying, ""The United States seems to be in the malaise of not being that concerned. If you have your own European allies saying, 'Maybe the United US isn’t a leader on this issue,' that’s a problem for us."" Elsewhere on your Sunday dial, as per Politico: Sen. Dianne Feinstein on President Obama's ISIS response: ""I’ve learned one thing about this president, and that is he’s very cautious. Maybe, in this instance, too cautious. What I understand he is trying to do is give an opportunity for this new Iraqi government ... to make a move that offers an alternative to the Sunni people in country."" Rep. Adam Kinzinger on ISIS: ""They're a terrorist organization, and they're not a parody of al-Qaeda. They're an actual threat.""",,,
4467,"– President Trump's former personal lawyer, Michael Cohen, says he will plead not guilty to tax evasion, bank fraud, and campaign finance violations before a federal judge in New York on Tuesday, the AP reports. Cohen says in a letter to US District Court Judge Alvin K. Hellerstein that he will also plead guilty to money laundering, conspiracy to launder money, and other charges. Cohen's letter says Trump directed Cohen to arrange payments to buy votes for Trump in the 2016 election in exchange for information on Hillary Clinton's use of a private email server. Cohen also said Trump directed him to make payments to the Clinton Foundation in order to help pay for her trips to Central America, the Middle East, and Africa, among other things. Cohen said in the letter that Trump told him the payments were for his ""personal use"" and that he did not know about the payments before he made them. Trump said in a statement Monday that he has ""a great deal of respect"" for Cohen, but that he ""will not be entering into a guilty plea to any of these or any of the charges."" He added: ""I hope to God it won't happen. I hope not to.""","– ""The thought of Donald Trump becoming president nauseates me in a big way,"" Hustler publisher Larry Flynt tells HOSS magazine. ""I don't know, maybe move to Canada."" Flynt, a longtime Democratic supporter, says he's ""embarrassed"" by the prospect of a Trump presidency and would consider moving there, though he adds, ""I wish I didn't. I don’t know why I let it obsess me the way it does."" His company has produced X-rated video fare like Asian Fever 12, Barely Legal 151, and The Porn Identity, and he says his company also created a parody porn specifically targeting Trump, where he searches for a running mate. ""If me winning means Rosie O'Donnell moves to Canada, I'd be doing a great service to our country!"" Cape Breton If Donald Trump Wins is an online campaign offering a new home for Trump haters, Fox News reports. The Huffington Post rounds up 16 celebrities who've said they'd leave if Trump is elected.",,,
