sample_id,flat_1024_alignscore,flat_overlap_alignscore,treesum_alignscore
3,0.0,0.0,0.0
4,0.0,0.0,0.0
9,0.0,0.0,0.0
13,0.0,0.0,0.0
17,0.0,0.0,0.0
21,0.0,0.0,0.0
26,0.0,0.0,0.0
29,0.0,0.0,0.0
45,0.0,0.0,0.0
48,0.0,0.0,0.0
53,0.0,0.0,0.0
58,0.0,0.0,0.0
64,0.0,0.0,0.0
76,0.0,0.0,0.0
79,0.0,0.0,0.0
83,0.0,0.0,0.0
94,0.0,0.0,0.0
100,0.0,0.0,0.0
103,0.0,0.0,0.0
112,0.0,0.0,0.0
115,0.0,0.0,0.0
120,0.0,0.0,0.0
141,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
166,0.0,0.0,0.0
169,0.0,0.0,0.0
172,0.0,0.0,0.0
193,0.0,0.0,0.0
200,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
217,0.0,0.0,0.0
220,0.0,0.0,0.0
222,0.0,0.0,0.0
226,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
244,0.0,0.0,0.0
254,0.0,0.0,0.0
257,0.0,0.0,0.0
260,0.0,0.0,0.0
262,0.0,0.0,0.0
267,0.0,0.0,0.0
295,0.0,0.0,0.0
300,0.0,0.0,0.0
313,0.0,0.0,0.0
317,0.0,0.0,0.0
325,0.0,0.0,0.0
326,0.0,0.0,0.0
329,0.0,0.0,0.0
336,0.0,0.0,0.0
342,0.0,0.0,0.0
355,0.0,0.0,0.0
361,0.0,0.0,0.0
363,0.0,0.0,0.0
372,0.0,0.0,0.0
375,0.0,0.0,0.0
378,0.0,0.0,0.0
385,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
414,0.0,0.0,0.0
416,0.0,0.0,0.0
420,0.0,0.0,0.0
422,0.0,0.0,0.0
426,0.0,0.0,0.0
439,0.0,0.0,0.0
