sample_id,flat_1024_doc2sum,flat_1024_sum2doc,flat_overlap_doc2sum,flat_overlap_sum2doc,treesum_doc2sum,treesum_sum2doc
3,-2.9297075271606445,-5.175851345062256,-3.295712471008301,-5.167830467224121,-2.729304313659668,-5.111703395843506
4,-2.6480915546417236,-3.7428674697875977,-2.63226580619812,-3.723712921142578,-3.0096914768218994,-3.9569318294525146
9,-2.7497119903564453,-3.0422887802124023,-2.6873154640197754,-3.057705879211426,-2.624847888946533,-2.7612228393554688
13,-2.450356960296631,-3.3656227588653564,-2.4503567218780518,-3.3656222820281982,-2.36079740524292,-4.54782247543335
17,-2.2162094116210938,-3.108943223953247,-2.216209888458252,-3.108943462371826,-2.5683865547180176,-3.284616708755493
21,-3.166419744491577,-3.7035775184631348,-2.6422207355499268,-3.5499837398529053,-2.9355554580688477,-3.419483184814453
26,-2.7337684631347656,-2.45444917678833,-2.6553707122802734,-2.4806909561157227,-2.649484395980835,-2.388106107711792
29,-2.442681312561035,-4.3539652824401855,-3.2025985717773438,-4.974919319152832,-2.560234785079956,-4.331421852111816
45,-2.71763014793396,-4.178974151611328,-3.522676944732666,-5.068943500518799,-2.938396453857422,-4.277597904205322
48,-2.9705166816711426,-3.7737231254577637,-2.9705159664154053,-3.7737226486206055,-2.8182010650634766,-3.7466886043548584
53,-2.9613826274871826,-3.6006102561950684,-2.8216207027435303,-3.641818046569824,-2.7694811820983887,-3.633043050765991
58,-2.2511489391326904,-3.0842020511627197,-2.2511489391326904,-3.0842013359069824,-2.5099499225616455,-2.935488700866699
64,-2.468339204788208,-3.664414405822754,-2.9639229774475098,-4.216294765472412,-2.9243531227111816,-3.9965579509735107
76,-2.4442179203033447,-3.0285747051239014,-2.4442179203033447,-3.0285747051239014,-2.6821072101593018,-3.423091173171997
79,-3.0192012786865234,-3.560072898864746,-2.651634454727173,-3.6482346057891846,-2.8114848136901855,-3.4635629653930664
83,-3.725554943084717,-4.46408748626709,-3.7255542278289795,-4.464087009429932,-2.760985851287842,-4.546972751617432
94,-3.7247140407562256,-4.2428693771362305,-3.744781970977783,-4.242368221282959,-3.503305435180664,-4.193113803863525
100,-3.3836312294006348,-3.9788818359375,-3.1883811950683594,-3.7797977924346924,-3.216205596923828,-3.886948585510254
103,-2.5374906063079834,-4.151108264923096,-2.5374906063079834,-4.151108264923096,-2.9084959030151367,-3.9630768299102783
112,-2.404449939727783,-3.9456496238708496,-2.404449462890625,-3.9456491470336914,-2.2688162326812744,-4.0010480880737305
115,-2.513575315475464,-3.347872257232666,-2.513575792312622,-3.347872257232666,-2.738295316696167,-3.1922988891601562
120,-3.0658628940582275,-3.1550726890563965,-3.46809720993042,-3.2068734169006348,-2.8705220222473145,-2.9281058311462402
141,-2.7175166606903076,-3.9816884994506836,-2.7175166606903076,-3.981688976287842,-2.936863660812378,-4.399052619934082
158,-2.4494128227233887,-3.8088560104370117,-2.4494130611419678,-3.8088552951812744,-2.710317373275757,-3.882634401321411
159,-2.804201126098633,-4.45097017288208,-2.804201126098633,-4.4509687423706055,-2.7675323486328125,-3.7442502975463867
160,-2.372716188430786,-2.7242140769958496,-2.372715473175049,-2.7242140769958496,-3.036086082458496,-3.0195939540863037
166,-2.7283987998962402,-3.797302484512329,-2.5923728942871094,-3.828481912612915,-3.010679006576538,-3.8943779468536377
169,-3.758962631225586,-5.23945426940918,-3.769087314605713,-5.238859176635742,-2.5464816093444824,-5.515748023986816
172,-2.499689817428589,-3.820072650909424,-2.499690055847168,-3.820072889328003,-2.6566662788391113,-3.5666933059692383
193,-2.57612943649292,-2.5378658771514893,-2.729182243347168,-2.606924295425415,-2.88207745552063,-3.5547497272491455
200,-3.0522046089172363,-4.438317775726318,-3.0346426963806152,-4.4150214195251465,-3.181239128112793,-4.5684494972229
203,-2.1970274448394775,-1.1863305568695068,-2.188701868057251,-1.2012661695480347,-2.2820334434509277,-1.1066502332687378
204,-3.7066733837127686,-4.297654628753662,-3.380671501159668,-4.269327163696289,-2.2640457153320312,-2.649074077606201
210,-2.253716468811035,-2.7320549488067627,-2.253716468811035,-2.7320542335510254,-2.4005393981933594,-3.1554787158966064
