alpha,rouge1,rouge2,rougeL,rougeLsum
0.0,45.316975648572985,16.00107432881808,22.40409797216993,22.460365750573974
0.1,45.55446929624837,16.194583025440945,22.494161602063045,22.58221842744398
0.2,45.465684587509145,16.093210421334426,22.350040915232956,22.443799241745573
0.3,45.100753218928475,15.7520528982061,22.181866999675393,22.262971952362907
0.4,45.320655836181395,15.80668683365759,22.203520547213213,22.26612973828443
0.5,45.38946417078037,15.65775209244779,22.125960523755584,22.18138352519899
0.6,45.406269372116896,15.715393401561512,22.077856790430666,22.13468392330367
0.7,45.24071167267453,15.553370789164733,21.900163496252762,21.96916789302237
0.8,45.26525715963132,15.605472486696122,22.024738770416473,22.127641118871455
0.9,45.78754527144602,16.287531759952603,22.67057571968733,22.747775137765615
1.0,45.88820757381461,16.485277882120847,22.65417714840113,22.72832139582091
