sample_id,bartscore_doc2sum,bartscore_sum2doc
0,-1.4562076330184937,-3.701005697250366
1,-1.3324081897735596,-3.8947668075561523
2,-2.621309518814087,-3.568836212158203
5,-2.2110626697540283,-3.6070656776428223
7,-1.450606107711792,-3.302102565765381
8,-2.287400245666504,-4.862093448638916
10,-0.8153441548347473,-2.463895082473755
11,-1.3739895820617676,-3.3472955226898193
15,-1.5593546628952026,-3.3869423866271973
16,-1.3159654140472412,-3.0299606323242188
18,-1.0566082000732422,-3.4415218830108643
19,-3.0403239727020264,-3.9401087760925293
20,-2.456360340118408,-3.660627841949463
22,-1.1759430170059204,-3.7238495349884033
24,-1.6712535619735718,-3.366041898727417
25,-1.4942632913589478,-3.548600196838379
28,-1.7336114645004272,-3.315544843673706
30,-2.5391526222229004,-4.327468395233154
31,-1.350343942642212,-3.736046552658081
32,-0.6378797292709351,-2.4827189445495605
34,-2.738152027130127,-3.89919376373291
35,-2.7969443798065186,-4.039937496185303
36,-1.6852226257324219,-3.9345529079437256
39,-1.3293277025222778,-3.7777698040008545
40,-1.707757830619812,-3.7248315811157227
41,-0.8823394775390625,-3.132110595703125
42,-1.537363886833191,-3.5252861976623535
43,-3.2905378341674805,-3.9502453804016113
44,-1.8988546133041382,-3.5795464515686035
47,-2.759188652038574,-3.6218485832214355
49,-2.2858376502990723,-4.265044212341309
51,-1.8626645803451538,-3.452885627746582
52,-1.907371163368225,-4.303563117980957
54,-1.5939102172851562,-3.4472031593322754
55,-1.1519912481307983,-3.7791738510131836
56,-1.666856050491333,-3.38252854347229
59,-1.974984884262085,-3.0564897060394287
60,-0.8417719006538391,-3.306786060333252
61,-1.8099256753921509,-3.7933740615844727
65,-0.8806453347206116,-3.0791587829589844
69,-1.710774302482605,-3.838263750076294
71,-2.339480400085449,-3.4648892879486084
72,-1.2581316232681274,-3.746640682220459
73,-1.3782042264938354,-3.6783194541931152
74,-1.4601686000823975,-3.2150115966796875
75,-0.854617178440094,-3.2212629318237305
78,-2.645956039428711,-3.4340105056762695
80,-2.5834155082702637,-3.4326398372650146
81,-1.7883585691452026,-3.5147335529327393
82,-1.8093674182891846,-3.1459522247314453
84,-2.5082170963287354,-4.102941513061523
85,-2.19189453125,-3.8125510215759277
86,-1.0952930450439453,-3.657264232635498
87,-1.525404453277588,-3.062189817428589
88,-2.2970261573791504,-4.025385856628418
90,-0.8067243099212646,-3.1715362071990967
91,-1.5003254413604736,-3.9282729625701904
92,-1.3498189449310303,-2.7955546379089355
95,-2.175457000732422,-4.0884480476379395
96,-2.6509649753570557,-3.63852596282959
97,-1.5980262756347656,-3.195157766342163
98,-1.3007192611694336,-3.9916110038757324
99,-2.033292531967163,-3.8223459720611572
101,-1.806674838066101,-3.5730080604553223
102,-2.255073308944702,-4.070979118347168
104,-1.2804793119430542,-3.3168132305145264
105,-2.4166910648345947,-3.4014248847961426
108,-1.4106497764587402,-2.9908783435821533
111,-2.6908998489379883,-3.700897216796875
113,-1.5473098754882812,-3.336276054382324
117,-1.4150246381759644,-3.0294768810272217
118,-1.0393964052200317,-2.561352252960205
119,-2.8293333053588867,-3.884716272354126
122,-1.400122046470642,-3.4241459369659424
123,-2.4949951171875,-4.004657745361328
126,-2.69315242767334,-3.425614833831787
128,-1.5567500591278076,-3.2744622230529785
130,-2.252108097076416,-3.1861824989318848
133,-1.387601375579834,-3.4255192279815674
135,-1.0915025472640991,-3.3365750312805176
136,-1.406893014907837,-3.3415608406066895
139,-3.284311294555664,-3.411261558532715
140,-1.363707423210144,-3.3071255683898926
143,-2.3010051250457764,-2.973128318786621
144,-2.1064553260803223,-3.9699723720550537
145,-1.2669694423675537,-3.25750994682312
146,-2.537424325942993,-4.051112174987793
147,-3.2694480419158936,-4.04786491394043
155,-1.0972126722335815,-3.7139577865600586
157,-2.606318473815918,-3.8316826820373535
162,-1.978560209274292,-3.6482696533203125
163,-2.5775158405303955,-4.279574394226074
165,-3.04520583152771,-4.1022443771362305
167,-2.7158422470092773,-3.885328531265259
175,-2.960548162460327,-3.956167697906494
176,-2.856250524520874,-3.8385589122772217
177,-3.2162818908691406,-4.029271125793457
180,-2.57720947265625,-3.9706616401672363
182,-2.0655949115753174,-3.6705543994903564
183,-1.2621557712554932,-2.3965365886688232
184,-1.8799909353256226,-3.6623494625091553
188,-1.0336103439331055,-3.4845848083496094
189,-3.0396482944488525,-4.532846450805664
191,-1.1757234334945679,-2.953063726425171
194,-2.4994680881500244,-4.128290176391602
196,-1.6672132015228271,-3.5181527137756348
197,-3.0995662212371826,-4.363402843475342
201,-2.007859706878662,-3.752586603164673
202,-1.18936026096344,-3.5721631050109863
206,-1.6799538135528564,-3.7937564849853516
208,-3.050734758377075,-3.890252113342285
212,-0.7879395484924316,-3.35073184967041
214,-2.7584738731384277,-3.653331756591797
216,-2.9670865535736084,-4.253473281860352
221,-1.7662100791931152,-3.6778547763824463
223,-3.7456040382385254,-4.189055442810059
224,-2.069096565246582,-3.4893360137939453
225,-1.3857064247131348,-3.4426493644714355
228,-3.098062038421631,-4.103804588317871
230,-1.3888074159622192,-3.781020402908325
232,-1.4500117301940918,-3.7485828399658203
233,-1.5360099077224731,-3.161768913269043
238,-1.1342538595199585,-3.0523619651794434
239,-1.3818124532699585,-2.8968207836151123
241,-1.3926992416381836,-3.2227275371551514
243,-3.00081729888916,-3.6520886421203613
248,-1.682056188583374,-3.25681734085083
250,-2.5594396591186523,-3.8803610801696777
253,-3.1238534450531006,-4.491796970367432
256,-3.195718765258789,-3.595022439956665
263,-1.5186177492141724,-3.3510520458221436
264,-1.217756986618042,-3.0695900917053223
266,-1.0938721895217896,-2.4322588443756104
270,-2.3794407844543457,-3.132534980773926
271,-0.7258016467094421,-2.4864277839660645
272,-1.399541974067688,-4.134956359863281
274,-1.7880043983459473,-2.871004343032837
279,-0.9794682860374451,-3.4263193607330322
280,-3.281740188598633,-4.853577613830566
281,-2.518343210220337,-3.25345516204834
284,-2.431159496307373,-3.680720090866089
285,-1.3425873517990112,-2.7888612747192383
286,-1.537112832069397,-2.7490549087524414
287,-1.6889028549194336,-3.5762622356414795
